user_id,aov,category
13153,-9999,Phones
42853,-9999,Phones
30550,-9999,Phones
9797,-9999,Phones
8171,-9999,Phones
11231,-9999,Phones
48009,-9999,Phones
29365,-9999,Phones
33315,-9999,Phones
8546,-9999,Phones
28044,-9999,Phones
31990,-9999,Phones
39890,-9999,Phones
14691,-9999,Phones
36164,-9999,Phones
7890,-9999,Phones
46801,-9999,Phones
5917,-9999,Phones
10500,-9999,Phones
310,-9999,Phones
31075,-9999,Phones
16270,-9999,Phones
42786,-9999,Phones
2586,-9999,Phones
35228,-9999,Phones
24959,-9999,Phones
35273,-9999,Phones
14722,-9999,Phones
11759,-9999,Phones
42387,-9999,Phones
23423,-9999,Phones
6611,-9999,Phones
36085,-9999,Phones
1505,-9999,Phones
18031,-9999,Phones
44214,-9999,Phones
32564,-9999,Phones
33646,-9999,Phones
9214,-9999,Phones
33774,-9999,Phones
5623,-9999,Phones
26486,-9999,Phones
40576,-9999,Phones
22657,-9999,Phones
15151,-9999,Phones
29857,-9999,Phones
3952,-9999,Phones
9032,-9999,Phones
33815,-9999,Phones
7110,-9999,Phones
9278,-9999,Phones
15801,-9999,Phones
43828,-9999,Phones
48164,-9999,Phones
7916,-9999,Phones
15564,-9999,Phones
6802,-9999,Phones
11097,-9999,Phones
33096,-9999,Phones
6866,-9999,Phones
8789,-9999,Phones
39391,-9999,Phones
14261,-9999,Phones
46753,-9999,Phones
41179,-9999,Phones
17335,-9999,Phones
10293,-9999,Phones
13951,-9999,Phones
30819,-9999,Phones
31028,-9999,Phones
33426,-9999,Phones
47409,-9999,Phones
45001,-9999,Phones
24374,-9999,Phones
34168,-9999,Phones
6134,-9999,Phones
20073,-9999,Phones
37301,-9999,Phones
23755,-9999,Phones
5752,-9999,Phones
32046,-9999,Phones
15730,-9999,Phones
47914,-9999,Phones
42570,-9999,Phones
38157,-9999,Phones
7472,-9999,Phones
921,-9999,Phones
13071,-9999,Phones
9001,-9999,Phones
20091,-9999,Phones
47312,-9999,Phones
18407,-9999,Phones
10402,-9999,Phones
26754,-9999,Phones
45982,-9999,Phones
7532,-9999,Phones
18715,-9999,Phones
16462,-9999,Phones
36733,-9999,Phones
12408,-9999,Phones
2569,-9999,Phones
31199,-9999,Phones
34627,-9999,Phones
10066,-9999,Phones
17960,-9999,Phones
21444,-9999,Phones
44462,-9999,Phones
4340,-9999,Phones
13492,-9999,Phones
9155,-9999,Phones
45510,-9999,Phones
14370,-9999,Phones
8825,-9999,Phones
34175,-9999,Phones
5799,-9999,Phones
48199,-9999,Phones
36224,-9999,Phones
14072,-9999,Phones
34311,-9999,Phones
3536,-9999,Phones
10986,-9999,Phones
36925,-9999,Phones
22187,-9999,Phones
3837,-9999,Phones
42565,-9999,Phones
20307,-9999,Phones
28692,-9999,Phones
7139,-9999,Phones
31926,-9999,Phones
29900,-9999,Phones
45289,-9999,Phones
15634,-9999,Phones
49559,-9999,Phones
33321,-9999,Phones
38027,-9999,Phones
24965,-9999,Phones
17064,-9999,Phones
10331,-9999,Phones
23012,-9999,Phones
3183,-9999,Phones
41202,-9999,Phones
25917,-9999,Phones
43771,-9999,Phones
49236,-9999,Phones
16288,-9999,Phones
37165,-9999,Phones
36501,-9999,Phones
20902,-9999,Phones
46756,-9999,Phones
13627,-9999,Phones
6040,-9999,Phones
38192,-9999,Phones
33925,-9999,Phones
49253,-9999,Phones
37482,-9999,Phones
28707,-9999,Phones
45383,-9999,Phones
21370,-9999,Phones
23195,-9999,Phones
36659,-9999,Phones
26319,-9999,Phones
41924,-9999,Phones
31180,-9999,Phones
41307,-9999,Phones
42598,-9999,Phones
13896,-9999,Phones
19960,-9999,Phones
12136,-9999,Phones
5359,-9999,Phones
27526,-9999,Phones
43754,-9999,Phones
8514,-9999,Phones
35472,-9999,Phones
43928,-9999,Phones
4831,-9999,Phones
31309,-9999,Phones
11694,-9999,Phones
49973,-9999,Phones
7285,-9999,Phones
8183,-9999,Phones
16448,-9999,Phones
40572,-9999,Phones
28467,-9999,Phones
26586,-9999,Phones
41345,-9999,Phones
7209,-9999,Phones
8602,-9999,Phones
33146,-9999,Phones
20623,-9999,Phones
31904,-9999,Phones
31735,-9999,Phones
19790,-9999,Phones
18191,-9999,Phones
20899,-9999,Phones
6942,-9999,Phones
9113,-9999,Phones
30953,-9999,Phones
19276,-9999,Phones
15697,-9999,Phones
19081,-9999,Phones
43368,-9999,Phones
12159,-9999,Phones
10193,-9999,Phones
16821,-9999,Phones
12178,-9999,Phones
4552,-9999,Phones
16417,-9999,Phones
43126,-9999,Phones
36589,-9999,Phones
45842,-9999,Phones
24641,-9999,Phones
30954,-9999,Phones
21759,-9999,Phones
738,-9999,Phones
10873,-9999,Phones
48039,-9999,Phones
30427,-9999,Phones
49861,-9999,Phones
47122,-9999,Phones
47969,-9999,Phones
32539,-9999,Phones
48840,-9999,Phones
48245,-9999,Phones
31386,-9999,Phones
43067,-9999,Phones
6221,-9999,Phones
46356,-9999,Phones
2188,-9999,Phones
42286,-9999,Phones
16223,-9999,Phones
39750,-9999,Phones
9198,-9999,Phones
19930,-9999,Phones
41865,-9999,Phones
12498,-9999,Phones
47221,-9999,Phones
34342,-9999,Phones
14486,-9999,Phones
30296,-9999,Phones
46948,-9999,Phones
46430,-9999,Phones
27461,-9999,Phones
22869,-9999,Phones
39939,-9999,Phones
44887,-9999,Phones
13507,-9999,Phones
28454,-9999,Phones
2905,-9999,Phones
43820,-9999,Phones
25021,-9999,Phones
26224,-9999,Phones
48205,-9999,Phones
1458,-9999,Phones
7116,-9999,Phones
13630,-9999,Phones
596,-9999,Phones
29612,-9999,Phones
8667,-9999,Phones
4761,-9999,Phones
30472,-9999,Phones
43122,-9999,Phones
30107,-9999,Phones
31445,-9999,Phones
25409,-9999,Phones
35403,-9999,Phones
40807,-9999,Phones
38170,-9999,Phones
14504,-9999,Phones
8167,-9999,Phones
1289,-9999,Phones
14714,-9999,Phones
42425,-9999,Phones
31924,-9999,Phones
47031,-9999,Phones
44420,-9999,Phones
22277,-9999,Phones
7921,-9999,Phones
10318,-9999,Phones
31856,-9999,Phones
48674,-9999,Phones
15891,-9999,Phones
36146,-9999,Phones
48988,-9999,Phones
28412,-9999,Phones
15566,-9999,Phones
42428,-9999,Phones
8944,-9999,Phones
35635,-9999,Phones
32557,-9999,Phones
13368,-9999,Phones
12602,-9999,Phones
44889,-9999,Phones
9447,-9999,Phones
39925,-9999,Phones
14534,-9999,Phones
40095,-9999,Phones
36119,-9999,Phones
13346,-9999,Phones
46488,-9999,Phones
38168,-9999,Phones
32683,-9999,Phones
45665,-9999,Phones
18278,-9999,Phones
40531,-9999,Phones
15642,-9999,Phones
10779,-9999,Phones
1057,-9999,Phones
37129,-9999,Phones
27423,-9999,Phones
13916,-9999,Phones
33862,-9999,Phones
8615,-9999,Phones
46767,-9999,Phones
23751,-9999,Phones
16087,-9999,Phones
7364,-9999,Phones
21705,-9999,Phones
8983,-9999,Phones
17641,-9999,Phones
46414,-9999,Phones
32823,-9999,Phones
30805,-9999,Phones
45947,-9999,Phones
45774,-9999,Phones
42289,-9999,Phones
47903,-9999,Phones
19705,-9999,Phones
15507,-9999,Phones
34155,-9999,Phones
7327,-9999,Phones
22843,-9999,Phones
29184,-9999,Phones
